postcode,suburb,state,latitude,longitude,dist
2540,Hmas Creswell,ACT,-35.028,150.5501,131.75
2540,Jervis Bay,ACT,-35.028,150.5501,131.75
2600,Duntroon,ACT,-35.3,149.1667,2.78
2600,Barton,ACT,-35.3053,149.1365,1.5
2600,Deakin,ACT,-35.3152,149.1087,3.25
2600,Harman,ACT,-35.3053,149.1365,1.5
2600,Canberra,ACT,-35.3171,149.1444,0
2600,Yarralumla,ACT,-35.3053,149.1365,1.5
2600,Parliament House,ACT,-35.3053,149.1365,1.5
2600,Deakin West,ACT,-35.3053,149.1365,1.5
2600,Russell,ACT,-35.3053,149.1365,1.5
2600,Parkes,ACT,-35.3053,149.1365,1.5
2601,Acton,ACT,-35.2772,149.1054,5.68
2601,Canberra,ACT,-35.2772,149.1054,5.68
2601,City,ACT,-35.2772,149.1054,5.68
2601,Black Mountain,ACT,-35.2772,149.1054,5.68
2602,Watson,ACT,-35.2386,149.1544,8.78
2602,O'Connor,ACT,-35.2478,149.1401,7.72
2602,Hackett,ACT,-35.2512,149.1636,7.53
2602,Ainslie,ACT,-35.2478,149.1401,7.72
2602,Downer,ACT,-35.2478,149.1401,7.72
2602,Dickson,ACT,-35.2478,149.1401,7.72
2602,Lyneham,ACT,-35.2478,149.1401,7.72
2603,Red Hill,ACT,-35.3283,149.1256,2.11
2603,Forrest,ACT,-35.3283,149.1256,2.11
2603,Griffith,ACT,-35.3283,149.1256,2.11
2603,Manuka,ACT,-35.3283,149.1256,2.11
2604,Narrabundah,ACT,-35.3304,149.1485,1.52
2604,Kingston,ACT,-35.3304,149.1485,1.52
2604,Causeway,ACT,-35.3304,149.1485,1.52
2605,Hughes,ACT,-35.331,149.0899,5.18
2605,Garran,ACT,-35.331,149.0899,5.18
2605,Curtin,ACT,-35.331,149.0899,5.18
2606,O'Malley,ACT,-35.3543,149.1068,5.36
2606,Phillip,ACT,-35.3481,149.0905,5.98
2606,Lyons,ACT,-35.3481,149.0905,5.98
2606,Woden,ACT,-35.3481,149.0905,5.98
2606,Chifley,ACT,-35.3481,149.0905,5.98
2606,Swinger Hill,ACT,-35.3481,149.0905,5.98
2607,Farrer,ACT,-35.3686,149.1011,6.94
2607,Pearce,ACT,-35.3686,149.1011,6.94
2607,Isaacs,ACT,-35.3686,149.1011,6.94
2607,Torrens,ACT,-35.3686,149.1011,6.94
2607,Mawson,ACT,-35.3686,149.1011,6.94
2608,Civic Square,ACT,-35.31,149.1933,4.51
2609,Symonston,ACT,-35.3287,149.1737,2.95
2609,Fyshwick,ACT,-35.3333,149.1667,2.71
2609,Pialligo,ACT,-35.3043,149.1792,3.46
2610,Canberra Bc,ACT,-35.2778,149.0111,12.86
2611,Fisher,ACT,-35.4171,148.7769,35.13
2611,Waramanga,ACT,-35.3528,149.0604,8.59
2611,Weston Creek,ACT,-35.4171,148.7769,35.13
2611,Chapman,ACT,-35.3565,149.042,10.27
2611,Holder,ACT,-35.4171,148.7769,35.13
2611,Duffy,ACT,-35.3373,149.0318,10.46
2611,Weston,ACT,-35.4171,148.7769,35.13
2611,Rivett,ACT,-35.3472,149.0359,10.4
2611,Mount Stromlo,ACT,-35.4171,148.7769,35.13
2611,Uriarra,ACT,-35.4171,148.7769,35.13
2611,Stirling,ACT,-35.4171,148.7769,35.13
2612,Turner,ACT,-35.2712,149.1184,5.62
2612,Braddon,ACT,-35.2788,149.1417,4.27
2612,Reid,ACT,-35.2788,149.1417,4.27
2612,Campbell,ACT,-35.2788,149.1417,4.27
2614,Aranda,ACT,-35.258,149.0756,9.07
2614,Weetangera,ACT,-35.249,149.0548,11.11
2614,Scullin,ACT,-35.2332,149.0408,13.25
2614,Macquarie,ACT,-35.249,149.0548,11.11
2614,Page,ACT,-35.249,149.0548,11.11
2614,Cook,ACT,-35.249,149.0548,11.11
2614,Jamison Centre,ACT,-35.249,149.0548,11.11
2614,Hawker,ACT,-35.249,149.0548,11.11
2615,Higgins,ACT,-35.2311,149.0277,14.27
2615,Spence,ACT,-35.2101,149.034,15.56
2615,Dunlop,ACT,-35.1988,149.0172,17.51
2615,Flynn,ACT,-35.2101,149.034,15.56
2615,Fraser,ACT,-35.1928,149.0427,16.62
2615,Charnwood,ACT,-35.2101,149.034,15.56
2615,Florey,ACT,-35.2264,149.0517,13.14
2615,Macgregor,ACT,-35.2101,149.034,15.56
2615,Melba,ACT,-35.211,149.05,14.58
2615,Kippax Centre,ACT,-35.2101,149.034,15.56
2615,Holt,ACT,-35.2254,149.0168,15.43
2615,Kippax,ACT,-35.2101,149.034,15.56
2615,Latham,ACT,-35.2101,149.034,15.56
2616,Belconnen,ACT,-35.2167,149.0833,12.47
2617,University Of Canberra,ACT,-35.2407,149.0466,12.29
2617,Giralang,ACT,-35.2099,149.0988,12.62
2617,Bruce,ACT,-35.2407,149.0466,12.29
2617,Evatt,ACT,-35.2149,149.0655,13.43
2617,Mckellar,ACT,-35.2407,149.0466,12.29
2617,Kaleen,ACT,-35.2192,149.1035,11.5
2617,Lawson,ACT,-35.2407,149.0466,12.29
2617,Belconnen,ACT,-35.2362,149.0673,11.4
2618,Hall,ACT,-35.1906,148.9137,25.23
2620,Hume,ACT,-35.3818,149.1764,7.76
2620,Tharwa,ACT,-35.5714,149.1275,28.32
2900,Greenway,ACT,-35.4158,149.0649,13.13
2900,Tuggeranong,ACT,-35.4158,149.0649,13.13
2901,Tuggeranong Dc,ACT,-35.4333,149.15,12.93
2902,Kambah,ACT,-35.3888,149.0473,11.88
2903,Oxley,ACT,-35.3998,149.0888,10.49
2903,Erindale Centre,ACT,-35.3998,149.0888,10.49
2903,Wanniassa,ACT,-35.3998,149.0888,10.49
2904,Macarthur,ACT,-35.4092,149.1084,10.75
